Geneid	C_1	C_2	C_3	F_1	F_2	F_3	W_1	W_2	W_3
ENSG00000232578	0	0	0	0	0	0	0	0	0
ENSG00000270133	1	0	3	5	2	3	3	4	9
ENSG00000133302	179	259	281	361	308	336	506	372	360
ENSG00000175471	116	220	241	307	350	360	325	241	220
ENSG00000249175	2	0	0	0	0	2	0	0	1
ENSG00000243806	0	0	1	0	0	0	0	1	0
ENSG00000276514	0	0	0	0	0	0	0	0	0
ENSG00000249545	0	0	0	0	0	0	0	0	0
ENSG00000153347	1	3	3	1	2	2	3	0	3
ENSG00000225165	0	2	1	1	0	0	0	0	0
ENSG00000198677	816	1431	1422	1556	1624	1654	2135	1562	1412
ENSG00000212259	0	0	0	0	0	0	0	0	0
ENSG00000164291	101	118	140	170	185	241	224	151	172
ENSG00000178015	0	0	0	0	0	0	0	0	0
ENSG00000175449	16	15	8	18	14	16	20	10	7
ENSG00000145757	9	1	7	9	9	6	11	11	4
ENSG00000250240	8	4	7	21	25	21	11	9	7
ENSG00000164292	7172	16485	11464	12369	15295	13672	15846	12093	12410
ENSG00000173221	1842	2588	2061	2226	2898	2626	2629	2433	1578
ENSG00000251348	25	99	76	65	111	123	159	104	250
ENSG00000251000	12	18	8	15	11	15	10	18	10
ENSG00000251409	0	0	0	0	1	1	1	0	1
ENSG00000272021	1	0	1	2	4	0	2	2	1
ENSG00000236882	6	7	6	1	5	8	27	7	10
ENSG00000250362	1	2	0	3	7	0	3	0	1
ENSG00000118985	930	1787	817	1577	2506	1162	1654	1719	863
ENSG00000251314	4	2	6	1	2	3	1	4	0
ENSG00000250955	0	0	0	0	0	0	0	0	0
ENSG00000213716	0	0	0	0	0	0	0	0	0
ENSG00000250551	5	0	0	0	1	1	3	0	0
ENSG00000207578	0	0	1	0	0	0	0	0	0
ENSG00000206997	0	0	0	0	0	0	0	0	0
ENSG00000249746	0	0	0	0	0	0	3	0	0
ENSG00000250158	0	0	0	0	0	1	0	0	1
ENSG00000175426	2	0	7	9	10	4	10	5	4
ENSG00000153113	2316	2899	2508	2435	2544	2522	3117	2111	2009
ENSG00000249180	0	0	3	2	2	0	0	0	1
ENSG00000164307	395	943	842	1050	1111	931	787	577	538
ENSG00000248734	8	15	9	9	7	4	6	3	4
ENSG00000272109	0	1	1	3	2	1	1	0	2
ENSG00000247121	34	34	22	59	50	53	75	30	21
ENSG00000164308	54	89	88	111	94	110	74	35	70
ENSG00000113441	435	902	1120	819	981	996	1137	760	1035
ENSG00000227836	0	0	0	0	2	0	1	0	0
ENSG00000200884	0	0	0	0	0	0	0	0	0
ENSG00000213701	0	0	0	0	0	0	0	0	0
ENSG00000251513	2	2	1	3	0	4	1	1	2
ENSG00000145721	0	4	0	1	1	0	0	2	1
ENSG00000058729	313	337	255	362	343	298	611	430	330
ENSG00000206698	1	0	0	1	0	0	3	1	0
ENSG00000248758	0	0	0	0	0	0	0	0	0
ENSG00000251054	0	0	0	0	0	1	0	0	0
ENSG00000249761	0	0	0	0	0	0	0	0	0
ENSG00000251389	0	0	0	0	0	0	0	0	0
ENSG00000249977	0	0	0	0	0	0	0	0	1
ENSG00000250331	0	0	0	0	0	0	0	0	1
ENSG00000248931	0	0	0	0	0	0	0	0	0
ENSG00000251193	0	0	0	0	0	0	0	0	0
ENSG00000248202	0	0	0	0	0	0	0	1	0
ENSG00000249101	0	0	0	0	0	0	0	0	0
ENSG00000248901	0	0	0	0	0	0	0	0	0
ENSG00000249135	0	0	0	0	0	0	0	0	0
ENSG00000238000	5	4	3	8	2	9	13	7	5
ENSG00000176183	0	0	0	0	0	0	0	0	0
ENSG00000250221	0	0	0	0	0	0	0	0	0
ENSG00000250830	0	0	0	0	0	0	0	0	0
ENSG00000249990	0	0	0	0	0	0	0	0	0
ENSG00000249448	0	0	0	0	0	0	0	0	0
ENSG00000251102	2	0	0	1	1	0	0	0	0
ENSG00000251553	0	0	0	0	0	0	0	0	0
ENSG00000174136	156	299	302	380	289	335	565	385	416
ENSG00000246763	5	9	9	11	5	8	53	15	20
ENSG00000279232	0	2	0	1	1	0	2	0	2
ENSG00000250162	0	0	0	0	0	0	0	0	0
ENSG00000153922	488	1098	1059	898	1087	997	1514	1279	872
ENSG00000222610	0	0	0	0	0	0	2	0	0
ENSG00000248489	2	4	2	5	4	6	12	5	7
ENSG00000200351	0	0	1	0	0	0	0	1	1
ENSG00000241597	0	0	0	0	0	0	0	2	1
ENSG00000249444	0	0	0	0	0	0	0	0	0
ENSG00000206356	0	0	0	0	0	0	0	0	0
ENSG00000227762	0	0	0	0	0	0	0	0	0
ENSG00000249515	0	0	0	0	0	0	0	0	0
ENSG00000248236	0	0	0	0	0	0	0	0	0
ENSG00000248928	0	0	0	0	0	0	0	0	0
ENSG00000250391	0	0	0	0	0	0	0	0	0
ENSG00000249963	0	0	0	0	0	0	0	0	0
ENSG00000199378	0	0	0	0	0	0	0	0	0
ENSG00000270232	0	0	0	0	0	0	0	0	0
ENSG00000270230	0	0	0	0	0	0	0	0	0
ENSG00000271687	0	0	0	0	0	0	0	0	0
ENSG00000270906	0	0	0	0	0	0	0	0	0
ENSG00000270350	0	0	0	0	0	0	0	0	0
ENSG00000271480	0	0	0	0	0	0	0	0	0
ENSG00000270388	0	0	0	0	0	0	0	0	0
ENSG00000270307	0	0	0	0	0	0	0	0	0
ENSG00000270225	0	0	0	0	0	0	0	0	0
ENSG00000271207	0	0	0	0	0	0	0	0	0
ENSG00000274455	0	0	0	0	0	0	0	0	0
ENSG00000207077	0	0	0	0	0	0	0	0	0
ENSG00000275374	0	0	1	5	2	4	1	2	0
ENSG00000273957	0	0	0	0	0	0	0	0	0
ENSG00000249787	0	0	0	0	0	0	0	0	0
ENSG00000247877	0	0	0	3	3	2	2	0	3
ENSG00000174132	152	200	133	139	138	170	250	246	188
ENSG00000250806	0	0	0	0	0	0	0	0	0
ENSG00000207269	0	0	0	0	0	0	0	0	0
ENSG00000113532	1	0	0	0	0	0	0	0	0
ENSG00000221263	0	0	0	0	0	0	0	0	0
ENSG00000277506	0	0	0	0	0	0	0	0	0
ENSG00000251261	0	0	0	0	0	0	0	0	0
ENSG00000249495	0	0	0	0	0	0	0	0	0
ENSG00000199786	0	0	0	0	0	0	0	0	0
ENSG00000248261	0	0	0	0	0	0	0	0	0
ENSG00000173930	17	29	43	19	31	44	64	50	24
ENSG00000222987	0	0	0	0	0	0	0	1	0
ENSG00000205359	0	1	0	3	2	1	0	0	0
ENSG00000249017	0	0	0	0	0	0	0	0	0
ENSG00000250958	0	0	0	0	0	1	0	0	0
ENSG00000247402	1	0	0	3	1	3	0	0	0
ENSG00000250682	7	5	7	28	19	24	5	5	4
ENSG00000145730	961	1831	1584	1938	2247	2069	3204	2103	2254
ENSG00000175749	2	3	0	0	0	0	1	1	2
ENSG00000145723	41	54	67	60	64	57	69	56	62
ENSG00000145725	261	462	470	498	577	584	730	473	491
ENSG00000248203	0	0	0	0	0	0	0	0	0
ENSG00000181751	142	212	224	194	190	144	294	177	194
ENSG00000250567	0	0	0	0	0	0	0	0	0
ENSG00000226926	0	0	0	0	0	0	0	0	0
ENSG00000248757	0	0	1	0	0	0	0	0	0
ENSG00000112874	86	108	112	98	131	139	211	113	131
ENSG00000283462	0	0	0	0	0	0	0	0	0
ENSG00000251026	26	34	45	30	54	47	40	30	38
ENSG00000201910	0	0	0	0	0	0	0	0	0
ENSG00000239808	0	1	4	2	4	4	3	2	2
ENSG00000251574	6	13	9	16	23	7	14	5	16
ENSG00000278958	0	3	10	0	1	3	2	0	3
ENSG00000253776	0	0	0	0	0	0	0	0	0
ENSG00000252881	0	0	0	0	0	0	0	0	0
ENSG00000253584	16	23	23	18	21	23	15	13	9
ENSG00000232159	0	0	0	0	0	0	0	0	1
ENSG00000201790	0	0	0	0	0	0	0	0	0
ENSG00000251204	0	0	0	0	0	0	0	0	0
ENSG00000250145	0	0	0	0	0	0	0	0	0
ENSG00000252337	0	0	0	0	0	0	0	0	0
ENSG00000251027	0	0	0	0	0	0	0	0	0
ENSG00000250273	0	0	0	0	0	0	0	0	0
ENSG00000184349	74	102	137	120	121	92	168	192	163
ENSG00000249959	0	0	0	1	1	0	0	0	0
ENSG00000248827	1	0	1	1	2	0	11	1	0
ENSG00000239708	0	0	0	0	0	0	0	0	0
ENSG00000251732	0	0	0	0	0	0	0	0	0
ENSG00000145743	204	398	352	259	333	338	390	290	289
ENSG00000244245	0	0	0	1	0	0	0	2	0
ENSG00000272523	39	41	24	20	24	29	75	28	51
ENSG00000151422	284	608	665	416	482	498	846	624	564
ENSG00000249921	0	2	2	0	0	0	1	1	1
ENSG00000250383	0	0	0	0	0	0	0	0	0
ENSG00000207404	0	0	0	0	0	0	0	0	0
ENSG00000250441	0	0	0	0	0	0	0	1	1
ENSG00000206593	0	0	0	0	0	0	0	0	0
ENSG00000176857	0	0	0	0	0	0	2	0	1
ENSG00000249476	3	10	8	5	3	5	7	4	4
ENSG00000198961	825	1677	1788	1336	1621	1604	2075	1590	1631
ENSG00000248867	0	0	0	0	0	0	0	0	0
ENSG00000251367	0	0	0	0	0	0	0	1	0
ENSG00000248876	0	0	0	0	0	0	0	0	0
ENSG00000248440	0	0	0	0	0	0	0	0	0
ENSG00000214794	0	0	0	0	0	0	0	0	0
ENSG00000271849	1	0	0	0	0	0	0	1	0
ENSG00000112893	461	926	999	1187	1227	1063	1924	1393	1545
ENSG00000202512	2	1	0	0	0	0	1	0	0
ENSG00000249068	0	2	0	2	0	0	0	4	1
ENSG00000254106	0	1	0	0	0	0	0	0	1
ENSG00000253224	0	0	1	0	0	0	0	0	0
ENSG00000186952	5	13	5	6	7	14	6	7	5
ENSG00000221436	0	0	0	0	0	0	0	0	0
ENSG00000207177	0	0	0	0	0	0	0	0	0
ENSG00000164209	434	665	506	507	571	459	861	574	465
ENSG00000270779	0	0	0	0	0	0	0	0	0
ENSG00000248966	0	0	0	0	0	0	0	0	0
ENSG00000248428	0	0	0	0	0	0	0	0	0
ENSG00000251627	0	0	0	0	0	0	0	0	0
ENSG00000145777	8	9	15	17	13	21	19	7	12
ENSG00000253613	0	0	0	0	0	0	0	0	0
ENSG00000134987	465	791	782	842	784	670	1552	962	864
ENSG00000250728	0	0	0	0	0	0	0	0	0
ENSG00000214784	3	0	0	1	1	1	3	0	0
ENSG00000152495	297	342	436	409	371	405	540	283	293
ENSG00000249318	0	0	0	0	0	0	1	2	0
ENSG00000248268	1	3	0	0	0	0	0	0	0
ENSG00000164211	380	757	611	555	777	649	902	811	698
ENSG00000246859	26	168	210	93	95	141	171	101	165
ENSG00000249619	0	0	0	0	0	0	0	0	0
ENSG00000251099	0	0	0	0	0	0	0	0	0
ENSG00000134986	627	1042	877	829	1080	1049	1155	873	845
ENSG00000253057	0	0	0	0	0	0	0	0	0
ENSG00000249439	0	0	0	0	0	0	0	0	0
ENSG00000250095	0	0	0	0	0	0	0	0	0
ENSG00000129595	30	96	101	87	114	102	55	52	57
ENSG00000224032	409	516	348	311	438	430	483	397	316
ENSG00000238363	0	4	1	2	0	2	1	1	4
ENSG00000250882	0	1	0	0	0	0	0	0	0
ENSG00000251187	0	0	0	0	2	0	1	0	1
ENSG00000251076	0	0	0	0	0	0	0	0	0
ENSG00000248350	0	0	0	0	0	0	0	0	0
ENSG00000278921	15	17	18	24	51	27	10	15	10
ENSG00000248430	0	0	0	0	0	0	0	0	0
ENSG00000251014	0	0	0	0	0	0	0	0	0
ENSG00000250358	1	0	0	0	0	0	0	0	0
ENSG00000134982	290	655	643	568	694	557	787	571	478
ENSG00000250045	0	2	0	0	0	0	0	0	0
ENSG00000212370	0	0	0	0	0	0	0	0	0
ENSG00000258864	0	0	0	0	0	0	0	0	0
ENSG00000153037	318	370	212	307	356	212	518	380	231
ENSG00000129625	833	857	521	798	780	682	1246	791	629
ENSG00000249947	2	5	6	5	6	1	11	4	3
ENSG00000212643	0	0	0	0	0	0	0	0	0
ENSG00000172795	844	1268	1628	1339	1339	1627	2476	1580	1824
ENSG00000171444	287	644	754	470	497	689	610	478	585
ENSG00000232633	0	1	1	1	2	1	5	1	0
ENSG00000212122	4	0	0	1	0	1	0	0	0
ENSG00000251741	0	0	0	0	0	0	0	0	0
ENSG00000047188	334	507	530	439	472	462	798	515	439
ENSG00000080709	14	56	35	74	63	79	39	44	62
ENSG00000222706	0	0	0	0	0	0	0	0	0
ENSG00000246316	0	0	0	0	0	0	0	0	0
ENSG00000251542	0	0	0	0	0	0	0	0	0
ENSG00000251132	0	0	0	0	0	0	0	0	0
ENSG00000250242	0	0	0	0	0	0	0	0	0
ENSG00000152503	60	84	59	72	86	56	63	48	34
ENSG00000250472	0	0	0	0	0	0	0	0	0
ENSG00000249791	0	1	0	2	0	0	1	2	0
ENSG00000164219	238	410	301	321	306	306	535	428	289
ENSG00000271797	1	1	3	0	2	1	2	2	2
ENSG00000243304	4	1	0	4	2	1	3	1	0
ENSG00000164221	111	138	119	127	120	114	137	99	130
ENSG00000250197	1	0	0	1	0	1	1	0	3
ENSG00000249026	2	0	0	0	1	4	1	0	0
ENSG00000248722	0	0	0	0	0	0	0	0	0
ENSG00000249944	0	0	0	0	0	0	0	0	0
ENSG00000249433	0	0	0	0	0	0	0	0	0
ENSG00000250444	0	0	0	0	0	1	2	0	1
ENSG00000145780	277	504	567	555	493	453	866	532	572
ENSG00000251201	0	0	1	0	1	1	4	3	0
ENSG00000243414	2	1	0	0	0	0	5	2	2
ENSG00000249249	4	4	3	5	6	5	7	6	5
ENSG00000134970	762	1114	828	1204	1235	1098	1595	1224	831
ENSG00000249021	0	0	0	0	0	0	0	0	0
ENSG00000248709	0	0	0	0	0	0	0	0	0
ENSG00000251118	0	0	0	0	0	0	0	0	0
ENSG00000222598	0	0	0	0	0	0	0	0	0
ENSG00000129596	32	58	40	117	112	92	90	62	59
ENSG00000145782	759	1036	775	1170	1229	1039	1340	937	806
ENSG00000177879	1284	1389	1062	1964	1960	1687	2206	1475	1442
ENSG00000172901	2	9	16	7	3	9	17	10	17
ENSG00000248295	0	0	0	0	0	1	0	0	0
ENSG00000268223	9	7	6	5	22	12	3	4	2
ENSG00000185641	39	33	18	28	31	34	52	15	38
ENSG00000272265	2	0	0	0	0	0	0	0	0
ENSG00000271918	11	23	17	18	20	23	25	25	32
ENSG00000145781	350	383	352	332	382	382	755	474	469
ENSG00000212457	0	1	0	0	1	0	1	0	0
ENSG00000232916	0	0	0	0	0	0	0	0	0
ENSG00000250015	0	2	0	0	4	2	1	1	3
ENSG00000092421	110	233	182	103	76	117	298	208	175
ENSG00000248445	20	29	18	8	18	25	35	14	22
ENSG00000239528	5	3	1	1	2	1	1	1	2
ENSG00000249167	0	0	0	0	1	0	1	0	0
ENSG00000197575	0	0	0	0	0	0	0	1	0
ENSG00000251311	0	0	0	0	0	0	0	0	0
ENSG00000249150	0	0	0	0	0	0	0	0	0
ENSG00000250650	0	0	0	0	0	0	0	0	0
ENSG00000250949	0	0	0	0	0	0	0	0	0
ENSG00000243758	0	0	0	0	0	0	0	0	0
ENSG00000285809	0	0	0	0	0	0	0	0	0
ENSG00000248663	25	23	22	15	19	29	32	16	21
ENSG00000251477	0	0	0	0	0	0	0	0	0
ENSG00000249582	0	0	0	0	0	0	0	0	0
ENSG00000249797	0	0	0	0	0	0	0	0	0
ENSG00000250427	0	0	0	0	0	0	0	1	0
ENSG00000250891	2	1	0	2	0	0	0	1	1
ENSG00000249551	0	0	0	0	0	0	0	0	0
ENSG00000249128	0	0	0	0	0	0	0	0	0
ENSG00000238904	0	0	0	0	0	0	0	0	0
ENSG00000249426	1	0	0	0	0	0	0	1	0
ENSG00000169570	166	201	177	211	226	175	242	173	144
ENSG00000197744	42	41	59	57	52	46	93	34	40
ENSG00000283498	131	84	63	127	121	128	162	93	75
ENSG00000249494	0	0	0	1	3	0	0	1	0
ENSG00000223179	0	0	0	0	0	0	0	0	0
ENSG00000250678	0	0	0	0	0	1	0	0	0
ENSG00000250928	0	0	0	0	0	0	0	0	0
ENSG00000172869	258	576	706	613	735	682	955	685	724
ENSG00000248885	0	1	0	1	0	1	0	0	2
ENSG00000248979	0	1	3	0	2	0	0	1	0
ENSG00000206786	0	0	0	0	0	0	0	0	0
ENSG00000264536	0	0	0	0	0	0	0	0	0
ENSG00000145779	75	74	80	127	119	142	142	63	96
ENSG00000243333	0	0	0	0	0	0	0	0	0
ENSG00000202092	0	0	0	0	0	0	0	0	0
ENSG00000133835	1025	1565	1473	1473	1604	1687	2342	1559	1635
ENSG00000213663	0	0	0	0	0	0	0	0	0
ENSG00000249919	0	0	0	0	1	0	0	0	0
ENSG00000164334	0	1	0	0	0	0	0	0	0
ENSG00000250895	0	0	0	0	0	0	0	0	0
ENSG00000234259	0	0	0	0	0	0	0	0	0
ENSG00000251293	0	0	0	0	0	1	0	0	0
ENSG00000251975	0	0	0	0	0	0	0	0	0
ENSG00000261036	3	4	3	10	7	11	1	2	6
ENSG00000184838	241	286	325	268	399	522	219	199	245
ENSG00000270741	0	1	1	0	0	0	0	0	2
ENSG00000222609	0	0	0	0	0	0	0	0	0
ENSG00000248927	3	3	3	0	1	4	5	7	3
ENSG00000251135	0	0	0	0	1	1	0	0	0
ENSG00000248853	0	0	0	0	0	0	0	0	0
ENSG00000250847	0	0	0	0	0	0	0	0	0
ENSG00000229855	0	1	1	0	0	0	0	0	0
ENSG00000279860	0	0	0	0	0	0	0	0	0
ENSG00000244088	0	0	0	0	0	0	0	0	0
ENSG00000213661	0	0	0	0	0	0	0	0	0
ENSG00000249600	0	0	0	0	0	0	0	0	0
ENSG00000181867	0	0	0	0	0	0	0	0	0
ENSG00000151304	178	296	279	308	360	264	441	391	262
ENSG00000113083	623	1047	665	1626	2201	1526	1936	1510	1323
ENSG00000247311	2	2	0	0	0	1	3	1	1
ENSG00000164185	5	2	2	3	1	0	11	15	4
ENSG00000250803	0	1	1	2	1	0	2	0	0
ENSG00000249610	0	2	1	0	0	0	0	1	0
ENSG00000272139	0	0	0	0	0	0	0	0	0
ENSG00000064692	11	28	22	11	54	35	9	3	2
ENSG00000249621	0	0	0	0	0	0	0	0	0
ENSG00000249916	2	4	2	4	1	4	0	2	0
ENSG00000250328	0	0	0	0	0	1	0	0	1
ENSG00000251538	0	0	0	0	0	0	0	0	0
ENSG00000240058	0	0	0	0	0	0	0	0	0
ENSG00000205302	973	1186	1059	1174	1312	1214	1668	1072	1188
ENSG00000260686	6	9	2	8	7	10	8	1	4
ENSG00000064652	363	493	469	463	527	626	606	428	463
ENSG00000263432	1	12	17	6	2	7	2	6	4
ENSG00000168938	486	585	398	438	580	594	718	540	433
ENSG00000249996	1	7	5	12	11	8	7	3	8
ENSG00000276047	0	0	0	0	0	0	0	0	0
ENSG00000223652	0	0	1	0	0	0	0	0	1
ENSG00000061455	0	0	6	4	6	1	7	3	8
ENSG00000213655	0	0	0	0	0	0	0	0	0
ENSG00000168944	311	511	543	611	700	649	788	560	548
ENSG00000250539	23	69	49	68	80	79	74	46	48
ENSG00000249400	0	0	0	0	0	0	0	0	0
ENSG00000279772	0	0	0	0	0	0	2	0	0
ENSG00000151292	616	960	932	934	1061	1007	1418	1012	865
ENSG00000235275	0	0	0	0	0	0	0	0	0
ENSG00000253807	0	1	4	0	0	2	1	1	1
ENSG00000250862	0	0	0	0	0	0	0	0	1
ENSG00000251421	0	0	0	0	0	0	0	0	0
ENSG00000248600	0	0	0	0	0	0	0	0	0
ENSG00000251214	0	0	0	0	0	0	0	0	0
ENSG00000250438	0	0	0	0	0	0	0	0	0
ENSG00000248296	0	1	1	0	0	0	0	1	1
ENSG00000168916	791	1964	2390	1455	1893	1893	2291	1335	1780
ENSG00000249112	0	0	1	3	2	0	3	1	2
ENSG00000251456	0	0	0	1	1	0	1	0	0
ENSG00000242814	0	0	0	0	0	0	0	0	0
ENSG00000260192	0	0	1	1	0	0	1	1	1
ENSG00000248443	0	0	0	0	0	0	0	0	0
ENSG00000249261	0	0	0	0	0	0	0	0	0
ENSG00000250194	0	0	0	0	0	0	0	0	0
ENSG00000250721	0	0	0	0	0	0	0	0	0
ENSG00000222107	0	0	0	0	0	0	0	0	0
ENSG00000250402	0	0	0	0	0	0	0	0	0
ENSG00000249950	0	0	0	0	0	0	0	0	0
ENSG00000249904	0	0	0	0	0	0	0	0	0
ENSG00000241888	0	0	0	0	0	0	0	0	0
ENSG00000248752	0	0	0	0	0	0	0	0	0
ENSG00000248107	0	0	0	0	0	0	0	2	0
ENSG00000155324	75	114	86	127	189	123	111	85	71
ENSG00000250602	0	1	1	1	3	2	3	0	2
ENSG00000279118	3	5	2	4	10	10	1	7	6
ENSG00000164904	1884	2385	1989	2539	3129	3054	3937	2732	2821
ENSG00000202082	0	0	0	0	0	0	0	0	1
ENSG00000164902	845	1191	802	905	1070	804	1376	1174	786
ENSG00000230929	1	8	4	7	10	3	21	15	6
ENSG00000196900	0	1	0	1	2	0	2	1	1
ENSG00000213630	0	0	0	0	0	0	0	0	1
ENSG00000249768	0	0	0	0	0	0	0	0	0
ENSG00000251072	2	1	0	0	2	4	6	0	1
ENSG00000252185	0	0	0	0	0	0	0	0	0
ENSG00000113368	4050	4534	5208	6829	6226	6275	9504	5756	6615
ENSG00000173926	92	145	135	126	105	88	266	200	192
ENSG00000164241	79	161	164	163	153	176	252	121	159
ENSG00000279446	0	0	0	0	0	0	0	0	0
ENSG00000214743	0	0	0	0	0	0	0	0	0
ENSG00000250080	0	0	0	0	0	0	0	0	0
ENSG00000271585	0	0	0	0	0	0	0	0	0
ENSG00000250956	0	0	0	0	0	0	0	0	0
ENSG00000283897	23	21	18	21	20	11	47	17	31
ENSG00000145794	46	88	166	38	50	64	61	44	27
ENSG00000249577	0	2	0	0	0	0	0	0	0
ENSG00000271766	1	0	0	0	0	0	2	0	0
ENSG00000250859	0	0	0	0	2	0	0	0	0
ENSG00000164244	819	1373	1164	1366	1446	1213	2104	1484	1394
ENSG00000282925	0	0	0	0	0	0	0	0	0
ENSG00000205279	0	0	0	0	0	0	0	0	0
ENSG00000248799	0	0	0	0	0	0	0	0	0
ENSG00000230561	5	1	0	1	3	7	3	0	3
ENSG00000251032	0	0	0	0	0	0	0	0	0
ENSG00000250603	0	0	0	0	0	0	0	0	0
ENSG00000245937	234	208	192	333	311	282	464	277	258
ENSG00000064651	594	885	944	998	902	761	1527	1017	857
ENSG00000250329	0	1	3	0	1	1	0	3	3
ENSG00000138829	1273	3611	3290	3523	3786	3123	5593	4035	4418
ENSG00000207290	0	0	0	0	0	0	0	0	0
ENSG00000113396	60	78	59	65	65	41	55	41	27
ENSG00000248634	0	0	0	0	0	1	0	0	0
ENSG00000066583	571	644	544	720	627	545	1172	696	623
ENSG00000264563	0	0	1	1	0	0	1	1	0
ENSG00000265691	0	0	0	0	0	0	0	0	0
ENSG00000249421	0	0	0	0	1	0	0	0	0
ENSG00000145808	3	3	4	8	2	4	5	3	3
ENSG00000251680	2	0	0	0	0	0	1	0	0
ENSG00000186367	0	0	0	0	0	0	0	1	0
ENSG00000198108	100	238	182	279	289	223	309	251	209
ENSG00000221562	0	1	0	0	0	0	0	0	0
ENSG00000199455	0	0	0	0	0	0	0	0	0
ENSG00000248610	2	5	2	7	1	5	9	2	0
ENSG00000252514	0	0	0	0	0	0	0	0	0
ENSG00000249312	0	0	0	0	0	0	0	0	0
ENSG00000249418	0	0	0	0	0	0	0	0	0
ENSG00000244192	0	0	0	0	0	0	0	0	0
ENSG00000250405	0	0	0	0	0	0	0	0	0
ENSG00000248955	0	0	0	0	0	0	0	0	0
ENSG00000169567	2833	2853	2097	2618	2604	2474	3631	2282	2108
ENSG00000186687	225	249	237	277	283	278	471	304	321
ENSG00000158985	354	570	482	522	515	543	816	561	542
ENSG00000279370	0	0	0	1	0	1	0	0	0
ENSG00000158987	144	197	170	191	214	146	288	201	148
ENSG00000273217	0	0	0	0	0	0	0	0	0
ENSG00000275939	0	0	0	1	0	0	0	0	1
ENSG00000217128	346	750	734	741	853	867	820	583	682
ENSG00000279584	2	0	0	0	1	1	0	0	1
ENSG00000239642	0	0	0	0	0	0	0	0	0
ENSG00000281938	0	0	0	0	0	0	0	0	0
ENSG00000234758	0	0	0	0	0	0	0	0	0
ENSG00000164398	2	1	4	6	7	3	9	0	3
ENSG00000223548	0	0	0	0	0	0	0	0	0
ENSG00000231585	0	0	0	0	0	0	0	0	0
ENSG00000164399	0	0	0	0	0	0	0	0	0
ENSG00000164400	35	34	41	23	19	19	10	19	14
ENSG00000253067	0	0	0	0	0	0	0	0	0
ENSG00000227616	0	0	0	0	0	0	0	0	0
ENSG00000235775	0	0	0	0	0	0	0	0	0
ENSG00000224015	0	0	1	0	0	0	0	0	0
ENSG00000237714	0	0	2	0	0	2	2	0	0
ENSG00000072682	1354	1448	1227	1885	2028	1752	2629	1851	1640
ENSG00000224431	4	9	12	9	7	8	7	2	9
ENSG00000283678	0	0	0	0	0	0	0	0	0
ENSG00000131435	2269	2287	2506	1379	1150	1772	2811	2296	1791
ENSG00000197208	40	56	78	80	69	81	108	65	51
ENSG00000233006	66	76	138	107	100	153	143	79	134
ENSG00000263597	8	4	12	14	12	11	17	14	14
ENSG00000197375	270	367	425	327	331	354	652	375	465
ENSG00000197536	20	36	63	51	41	51	53	30	44
ENSG00000283782	0	0	0	0	0	0	1	2	0
ENSG00000238160	0	1	1	3	0	0	0	2	1
ENSG00000202533	1	5	5	3	1	5	4	4	1
ENSG00000234290	7	14	21	18	20	31	14	7	17
ENSG00000125347	366	398	276	400	381	239	309	238	158
ENSG00000113525	0	0	1	2	0	1	0	0	0
ENSG00000113522	30	43	69	53	50	45	96	50	74
ENSG00000223442	1	2	1	1	3	0	9	6	3
ENSG00000169194	0	0	1	0	0	0	0	3	1
ENSG00000113520	2	1	0	5	2	1	2	3	2
ENSG00000230612	3	12	8	6	12	17	18	16	17
ENSG00000131437	417	765	634	666	758	674	1119	788	618
ENSG00000205089	0	5	8	3	1	0	3	1	2
ENSG00000164402	1206	2294	2225	2026	2207	2359	2834	2133	2136
ENSG00000198944	17	14	8	24	33	24	25	30	30
ENSG00000272203	0	0	2	1	0	0	0	0	1
ENSG00000164403	1021	1142	908	937	921	911	1028	834	703
ENSG00000201274	0	0	0	0	0	0	0	0	0
ENSG00000164404	10	10	7	26	17	32	20	9	6
ENSG00000164405	4712	4286	2978	3958	3863	3565	6527	4067	3396
ENSG00000164406	17	46	28	41	38	45	89	46	41
ENSG00000072364	1102	3160	3101	2576	3317	2864	3779	2992	2670
ENSG00000235253	7	6	8	6	3	1	3	5	2
ENSG00000202417	0	0	3	0	0	2	1	0	1
ENSG00000225364	3	3	1	0	2	1	2	1	0
ENSG00000272023	0	2	0	5	0	1	1	1	0
ENSG00000229738	0	0	0	0	0	4	0	1	0
ENSG00000199677	0	0	0	0	0	0	0	0	0
ENSG00000155329	286	383	271	281	351	299	481	318	245
ENSG00000248648	1	2	4	5	3	1	12	2	7
ENSG00000170606	4884	5013	4078	4977	4309	3911	8804	5712	4841
ENSG00000279691	11	12	4	9	14	7	17	6	7
ENSG00000251616	0	0	0	0	0	0	1	0	0
ENSG00000248245	0	0	2	0	4	0	2	5	0
ENSG00000240611	0	0	0	0	0	0	0	0	0
ENSG00000053108	19	36	33	37	39	50	13	17	16
ENSG00000249478	1	0	0	0	0	0	0	0	0
ENSG00000250244	0	0	0	0	0	0	0	0	0
ENSG00000250409	0	0	0	0	0	1	0	0	0
ENSG00000221287	0	0	0	0	0	0	0	0	0
ENSG00000280104	0	0	0	0	0	0	0	0	0
ENSG00000279197	4	3	3	5	7	4	0	3	1
ENSG00000251243	0	0	0	0	0	0	0	0	0
ENSG00000249073	0	0	0	0	0	0	0	0	0
ENSG00000113583	861	1396	1179	1328	1438	1361	1932	1287	1259
